                 Q-tabell                       State Space
        Q1        Q2        Q3		   k1   k2   k3   k4   k5   k6
      0.00      1.00      2.00		    3    0    1    0    0    0
      0.00      0.00      1.00		    2    3    0    1    1    0
      0.00      0.00      0.00		    1    2    3    0    1    2
      0.00      0.00      0.00		    0    1    2    3    0    1
      3.00      0.00      0.00		    0    0    1    2    3    0
      1.00      4.00      0.00		    0    0    0    1    2    3
      0.00      1.00      5.00		    0    0    0    0    1    2
      3.00      1.00      0.00		    0    0    0    0    0    1
      2.00      3.00      1.00		    0    1    0    0    0    0
      1.00      2.00      3.00		    1    0    2    0    0    0
      0.00      1.00      2.00		    3    1    0    3    0    0
      0.00      0.00      1.00		    2    3    1    0    4    0
      0.00      0.00      0.00		    1    2    3    1    0    5
      0.00      0.00      0.00		    0    1    2    3    1    1
      0.00      0.00      0.00		    0    0    1    2    3    1
      1.00      1.00      0.00		    0    0    0    1    2    3
      1.00      1.00      2.00		    0    0    0    0    1    2
      3.00      1.00      1.00		    3    0    0    0    0    1
      2.00      3.00      1.00		    1    4    0    0    0    0
      1.00      2.00      3.00		    1    1    5    0    0    0
      0.00      1.00      3.00		    0    0    0    0    0    0
      0.00      0.00      1.00		    3    0    0    0    1    0
      0.00      0.00      0.00		    1    3    0    0    0    2
      0.00      0.00      0.00		    0    1    3    0    0    0
      3.00      0.00      0.00		    0    0    1    3    0    0
      0.00      4.00      0.00		    0    0    0    1    3    0
      0.00      0.00      5.00		    0    0    0    0    1    3
      0.00      0.00      1.00		    0    0    0    0    0    1
      3.00      0.00      0.00		    1    1    0    0    0    0
      1.00      3.00      0.00		    0    1    2    0    0    0
      0.00      1.00      3.00		    0    0    1    3    0    0
      0.00      0.00      1.00		    3    0    0    1    4    0
      0.00      0.00      0.00		    1    3    0    0    1    5
      0.00      0.00      0.00		    0    1    3    0    1    0
      0.00      0.00      0.00		    0    0    1    3    0    1
      0.00      1.00      0.00		    0    0    0    1    3    0
      1.00      0.00      2.00		    0    0    0    0    1    3
      0.00      1.00      0.00		    3    0    0    0    0    1
      3.00      0.00      1.00		    0    4    0    0    0    0
      1.00      3.00      0.00		    1    0    5    0    0    0
      0.00      1.00      3.00		    0    1    1    0    0    0
      0.00      0.00      1.00		    3    0    1    1    1    0
      0.00      0.00      0.00		    1    3    0    1    1    2
      0.00      0.00      0.00		    0    1    3    0    1    1
      3.00      0.00      0.00		    0    0    1    3    0    1
      1.00      4.00      0.00		    0    0    0    1    3    0
      1.00      1.00      5.00		    0    0    0    0    1    3
      1.00      0.00      0.00		    0    0    0    0    0    1
      3.00      1.00      0.00		    0    1    0    0    0    0
      1.00      3.00      1.00		    0    0    2    0    0    0
      0.00      1.00      3.00		    1    0    0    3    0    0
      0.00      0.00      1.00		    3    1    0    0    4    0
      0.00      0.00      0.00		    1    3    1    0    0    5
      0.00      0.00      0.00		    0    1    3    1    0    1
      0.00      0.00      0.00		    0    0    1    3    1    0
      1.00      1.00      0.00		    0    0    0    1    3    1
      0.00      1.00      2.00		    0    0    0    0    1    3
      1.00      0.00      1.00		    3    0    0    0    0    1
      3.00      1.00      0.00		    1    4    0    0    0    0
      1.00      3.00      1.00		    0    1    5    0    0    0
      0.00      1.00      3.00		    1    1    0    0    0    0
      0.00      0.00      1.00		    3    1    1    0    1    0
      0.00      0.00      0.00		    1    3    1    1    0    2
      0.00      0.00      0.00		    0    1    3    1    1    0
      3.00      0.00      0.00		    0    0    1    3    1    1
      0.00      4.00      0.00		    0    0    0    1    3    1
      1.00      0.00      5.00		    0    0    0    0    1    3
      1.00      1.00      1.00		    0    0    0    0    0    1
      3.00      1.00      1.00		    1    1    0    0    0    0
      1.00      3.00      1.00		    1    1    2    0    0    0
      0.00      1.00      3.00		    1    1    1    3    0    0
      0.00      0.00      1.00		    3    1    1    1    4    0
      0.00      0.00      0.00		    1    3    1    1    1    5
     -0.40     -0.56     -0.89		    0    1    3    2    0    0
      0.00      0.00      0.50		   -0    0    1    3    2    0
      0.00      1.00      1.30		   -0   -0    0    1    3    2
      0.00      0.00      2.00		    0    0    0    0    1    3
      2.00      0.00      0.00		    3    0    0    0    0    1
      3.00      2.00      0.00		    0    4    0    0    0    0
      1.00      3.00      2.00		    0    0    5    0    0    0
      0.00      1.00      3.00		    2    0    1    0    0    0
      0.00      0.00      1.00		    3    2    0    1    1    0
      0.00      0.00      0.00		    1    3    2    0    1    2
      0.00      0.00      0.00		    0    1    3    2    0    1
      3.00      0.00      0.00		    0    0    1    3    2    0
      1.00      4.00      0.00		    0    0    0    1    3    2
      0.00      1.00      5.00		    0    0    0    0    1    3
      2.00      1.00      0.00		    0    0    0    0    0    1
      3.00      2.00      1.00		    0    1    0    0    0    0
      1.00      3.00      2.00		    1    0    2    0    0    0
      0.00      1.00      3.00		    2    1    0    3    0    0
      0.00      0.00      1.00		    3    2    1    0    4    0
      0.00      0.00      0.00		    1    3    2    1    0    5
      0.00      0.00      0.00		    0    1    3    2    1    1
      0.00      0.00      0.00		    0    0    1    3    2    1
      1.00      1.00      0.00		    0    0    0    1    3    2
      1.00      1.00      2.00		    0    0    0    0    1    3
      2.00      1.00      1.00		    3    0    0    0    0    1
      3.00      2.00      1.00		    1    4    0    0    0    0
      1.00      3.00      2.00		    1    1    5    0    0    0
      0.00      1.00      3.00		    3    0    0    0    0    0
      0.00      0.00      1.00		    3    3    0    0    1    0
      0.00      0.00      0.00		    1    3    3    0    0    2
      0.00      0.00      0.00		    0    1    3    3    0    0
      3.00      0.00      0.00		    0    0    1    3    3    0
      0.00      4.00      0.00		    0    0    0    1    3    3
      0.00      0.00      5.00		    0    0    0    0    1    3
      3.00      0.00      1.00		    0    0    0    0    0    1
      3.00      3.00      0.00		    1    1    0    0    0    0
      1.00      3.00      3.00		    0    1    2    0    0    0
      0.00      1.00      3.00		    3    0    1    3    0    0
      0.00      0.00      1.00		    3    3    0    1    4    0
      0.00      0.00      0.00		    1    3    3    0    1    5
      0.00      0.00      0.00		    0    1    3    3    1    0
      0.00      0.00      0.00		    0    0    1    3    3    1
      0.00      1.00      0.00		    0    0    0    1    3    3
      1.00      0.00      2.00		    0    0    0    0    1    3
      3.00      1.00      0.00		    3    0    0    0    0    1
      3.00      3.00      1.00		    0    4    0    0    0    0
      1.00      3.00      3.00		    1    0    5    0    0    0
      0.00      1.00      3.00		    3    1    1    0    0    0
      0.00      0.00      1.00		    3    3    1    1    1    0
      0.00      0.00      0.00		    1    3    3    1    1    2
      0.00      0.00      0.00		    0    1    3    3    1    1
      3.00      0.00      0.00		    0    0    1    3    3    1
      1.00      4.00      0.00		    0    0    0    1    3    3
      1.00      1.00      5.00		    0    0    0    0    2    0
      0.00      0.00      0.00		    0    0    0    0    0    2
      0.00      0.00      0.00		    0    1    0    0    0    0
      2.00      0.00      0.00		    0    0    2    0    0    0
      0.00      2.00      0.00		    0    0    0    3    0    0
      0.00      0.00      2.00		    0    0    0    0    4    0
      0.00      0.00      0.00		    2    0    0    0    0    5
      0.00      0.00      0.00		    0    2    0    0    0    1
      0.00      0.00      0.00		    0    0    2    0    0    0
      1.00      1.00      0.00		    0    0    0    2    0    0
      0.00      1.00      2.00		    0    0    0    0    2    0
      0.00      0.00      1.00		    3    0    0    0    0    2
      0.00      0.00      0.00		    1    4    0    0    0    0
      2.00      0.00      0.00		    0    1    5    0    0    0
      0.00      2.00      0.00		    0    1    0    0    0    0
      0.00      0.00      2.00		    0    0    1    0    1    0
      0.00      0.00      0.00		    2    0    0    1    0    2
      0.00      0.00      0.00		    0    2    0    0    1    0
      3.00      0.00      0.00		    0    0    2    0    0    1
      0.00      4.00      0.00		    0    0    0    2    0    0
      1.00      0.00      5.00		    0    0    0    0    2    0
      0.00      1.00      1.00		    0    0    0    0    0    2
      0.00      0.00      1.00		    1    1    0    0    0    0
      2.00      0.00      0.00		    1    1    2    0    0    0
      0.00      2.00      0.00		    0    1    1    3    0    0
      0.00      0.00      2.00		    0    0    1    1    4    0
      0.00      0.00      0.00		    2    0    0    1    1    5
      0.00      0.00      0.00		    0    2    0    1    0    0
      0.00      0.00      0.00		    0    0    2    0    1    0
      0.00      1.00      0.00		    0    0    0    2    0    1
      0.00      0.00      2.00		    0    0    0    0    2    0
      1.00      0.00      0.00		    3    0    0    0    0    2
      0.00      1.00      0.00		    0    4    0    0    0    0
      2.00      0.00      1.00		    0    0    5    0    0    0
      0.00      2.00      0.00		    1    0    1    0    0    0
      0.00      0.00      2.00		    0    1    0    1    1    0
      0.00      0.00      0.00		    2    0    1    0    1    2
      0.00      0.00      0.00		    0    2    0    1    0    1
      3.00      0.00      0.00		    0    0    2    0    1    0
      1.00      4.00      0.00		    0    0    0    2    0    1
      0.00      1.00      5.00		    0    0    0    0    2    0
      1.00      1.00      0.00		    0    0    0    0    0    2
      0.00      1.00      1.00		    0    1    0    0    0    0
      2.00      0.00      1.00		    1    0    2    0    0    0
      0.00      2.00      0.00		    1    1    0    3    0    0
      0.00      0.00      2.00		    0    1    1    0    4    0
      0.00      0.00      0.00		    2    0    1    1    0    5
      0.00      0.00      0.00		    0    2    0    1    1    1
      0.00      0.00      0.00		    0    0    2    0    1    1
      1.00      1.00      0.00		    0    0    0    2    0    1
      1.00      1.00      2.00		    0    0    0    0    2    0
      1.00      1.00      1.00		    3    0    0    0    0    2
      0.00      1.00      1.00		    1    4    0    0    0    0
      2.00      0.00      1.00		    1    1    5    0    0    0
      0.00      2.00      0.00		    2    0    0    0    0    0
      0.00      0.00      2.00		    0    2    0    0    1    0
      0.00      0.00      0.00		    2    0    2    0    0    2
      0.00      0.00      0.00		    0    2    0    2    0    0
      3.00      0.00      0.00		    0    0    2    0    2    0
      0.00      4.00      0.00		    0    0    0    2    0    2
      0.00      0.00      5.00		    0    0    0    0    2    0
      2.00      0.00      1.00		    0    0    0    0    0    2
      0.00      2.00      0.00		    1    1    0    0    0    0
      2.00      0.00      2.00		    0    1    2    0    0    0
      0.00      2.00      0.00		    2    0    1    3    0    0
      0.00      0.00      2.00		    0    2    0    1    4    0
      0.00      0.00      0.00		    2    0    2    0    1    5
      0.00      0.00      0.00		    0    2    0    2    1    0
      0.00      0.00      0.00		    0    0    2    0    2    1
      0.00      1.00      0.00		    0    0    0    2    0    2
      1.00      0.00      2.00		    0    0    0    0    2    0
      2.00      1.00      0.00		    3    0    0    0    0    2
      0.00      2.00      1.00		    0    4    0    0    0    0
      2.00      0.00      2.00		    1    0    5    0    0    0
      0.00      2.00      0.00		    2    1    1    0    0    0
      0.00      0.00      2.00		    0    2    1    1    1    0
      0.00      0.00      0.00		    2    0    2    1    1    2
      0.00      0.00      0.00		    0    2    0    2    1    1
      3.00      0.00      0.00		    0    0    2    0    2    1
      1.00      4.00      0.00		    0    0    0    2    0    2
      1.00      1.00      5.00		    0    0    0    0    2    0
      3.00      0.00      0.00		    0    0    0    0    0    2
      0.00      3.00      0.00		    0    1    0    0    0    0
      2.00      0.00      3.00		    0    0    2    0    0    0
      0.00      2.00      0.00		    3    0    0    3    0    0
      0.00      0.00      2.00		    0    3    0    0    4    0
      0.00      0.00      0.00		    2    0    3    0    0    5
      0.00      0.00      0.00		    0    2    0    3    0    1
      0.00      0.00      0.00		    0    0    2    0    3    0
      1.00      1.00      0.00		    0    0    0    2    0    3
      0.00      1.00      2.00		    0    0    0    0    2    0
      3.00      0.00      1.00		    3    0    0    0    0    2
      0.00      3.00      0.00		    1    4    0    0    0    0
      2.00      0.00      3.00		    0    1    5    0    0    0
      0.00      2.00      0.00		    3    1    0    0    0    0
      0.00      0.00      2.00		    0    3    1    0    1    0
      0.00      0.00      0.00		    2    0    3    1    0    2
      0.00      0.00      0.00		    0    2    0    3    1    0
      3.00      0.00      0.00		    0    0    2    0    3    1
      0.00      4.00      0.00		    0    0    0    2    0    3
      1.00      0.00      5.00		    0    0    0    0    2    0
      3.00      1.00      1.00		    0    0    0    0    0    2
      0.00      3.00      1.00		    1    1    0    0    0    0
      2.00      0.00      3.00		    1    1    2    0    0    0
      0.00      2.00      0.00		    3    1    1    3    0    0
      0.00      0.00      2.00		    0    3    1    1    4    0
      0.00      0.00      0.00		    2    0    3    1    1    5
      0.00      0.00      0.00		    0    2    1    0    0    0
      0.00     -0.10     -0.22		   -0    0    2    1    0    0
      0.00      1.00      0.00		    0    0    0    2    1    0
      0.00      0.00      2.00		    0    0    0    0    2    1
      0.00      0.00      0.00		    3   -0   -0   -0    0    2
      1.00      0.00      0.00		    0    4    0    0    0    0
      2.00      1.00      0.00		    0    0    5    0    0    0
      0.00      2.00      1.00		    0    0    1    0    0    0
      0.00      0.00      2.00		    1    0    0    1    1    0
      0.00      0.00      0.00		    2    1    0    0    1    2
      0.00      0.00      0.00		    0    2    1    0    0    1
      3.00      0.00      0.00		    0    0    2    1    0    0
      1.00      4.00      0.00		    0    0    0    2    1    0
      0.00      1.00      5.00		    0    0    0    0    2    1
      0.00      1.00      0.00		    0    0    0    0    0    2
      1.00      0.00      1.00		    0    1    0    0    0    0
      2.00      1.00      0.00		    1    0    2    0    0    0
      0.00      2.00      1.00		    0    1    0    3    0    0
      0.00      0.00      2.00		    1    0    1    0    4    0
      0.00      0.00      0.00		    2    1    0    1    0    5
      0.00      0.00      0.00		    0    2    1    0    1    1
      0.00      0.00      0.00		    0    0    2    1    0    1
      1.00      1.00      0.00		    0    0    0    2    1    0
      1.00      1.00      2.00		    0    0    0    0    2    1
      0.00      1.00      1.00		    3    0    0    0    0    2
      1.00      0.00      1.00		    1    4    0    0    0    0
      2.00      1.00      0.00		    1    1    5    0    0    0
      0.00      2.00      1.00		    1    0    0    0    0    7
     -0.01      0.00      2.00		    1    1    0    0    1    2
     -0.92     -0.66      0.00		    2    1    1    0    0    2
     -0.65     -0.52      2.26		    0    2    1    1    0    0
      3.00      4.22     -0.42		   -5    0    2    1    1    0
      0.00      4.00      0.00		    0   -0    0    2    1    1
      0.00      0.00      5.00		    0    0    0    0    2    1
      1.00      0.00      1.00		    0    0    0    0    0    2
      1.00      1.00      0.00		    1    1    0    0    0    0
      2.00      1.00      1.00		    0    1    2    0    0    0
      0.00      2.00      1.00		    1    0    1    3    0    0
      0.00      0.00      2.00		    1    1    0    1    4    0
      0.00      0.00      0.00		    2    1    1    0    1    5
      0.00      0.00      0.00		    0    2    1    1    1    0
      0.00      0.00      0.00		   -0    0    2    1    1    1
      0.00      1.00     -0.05		   -0   -0    0    2    1    1
      1.00      0.00      2.00		   -0    0   -0    0    2    1
      1.00      1.00      0.00		    3   -0   -0  -50    0    2
      1.00      1.00      1.00		    0    4    0    0    0    0
      2.00      1.00      1.00		    1    0    5    0    0    0
      0.00      2.00      1.00		    1    1    1    0    0    0
      0.00      0.00      2.00		    1    1    1    1    1    0
      0.00      0.00      0.00		    2    1    1    1    1    2
      0.00      0.00      0.00		    0    2    1    1    1    1
      3.00      0.00     -0.15		    0    0    2    1    1    1
      1.00      4.00      0.00		    0    0    0    2    1    1
      1.00      1.00      5.00		    0    0    0    0    2    1
      2.00      0.00      0.00		    0    0    0    0    0    2
      1.00      2.00      0.00		    0    1    0    0    0    0
      2.00      1.00      2.00		    0    0    2    0    0    0
      0.00      2.00      1.00		    2    0    0    3    0    0
      0.00      0.00      2.00		    1    2    0    0    4    0
      0.00      0.00      0.00		    2    1    2    0    0    5
      0.00      0.00      0.00		    0    2    1    2    0    1
      0.00      0.00      0.00		    0    0    2    1    2    0
      1.00      1.00      0.00		    0    0    0    2    1    2
      0.00      1.00      2.00		    0    0    0    0    2    1
      2.00      0.00      1.00		    3    0    0    0    0    2
      1.00      2.00      0.00		    1    4    0    0    0    0
      2.00      1.00      2.00		    0    1    5    0    0    0
      0.00      2.00      1.00		    2    1    0    0    0    0
      0.00      0.00      2.00		    1    2    1    0    1    0
      0.00      0.00      0.00		    2    1    2    1    0    2
      0.00      0.00      0.00		    0    2    1    2    1    0
      3.00      0.00      0.00		    0    0    2    1    2    1
      0.00      4.00      0.00		    0    0    0    2    1    2
      1.00      0.00      5.00		    0    0    0    0    2    1
      2.00      1.00      1.00		    0    0    0    0    0    2
      1.00      2.00      1.00		    1    1    0    0    0    0
      2.00      1.00      2.00		    1    1    2    0    0    0
      0.00      2.00      1.00		    2    1    1    3    0    0
      0.00      0.00      2.00		    1    2    1    1    4    0
      0.00      0.00      0.00		    2    1    2    1    1    5
      0.00      0.00      0.00		    0    2    1    3    0    0
      0.00      0.00      0.00		    0    0    2    1    3    0
      0.00      1.00      0.00		    0    0    0    2    1    3
      0.00      0.00      2.00		    0    0    0    0    2    1
      3.00      0.00      0.00		    3   21    0    0    0    2
      1.00      3.00      0.00		    0    4   -0   -0   -0    0
      2.00      1.00      3.00		    0    0    5    0    0    0
      0.00      2.00      1.00		    3    0    1    0    0    0
      0.00      0.00      2.00		    1    3    0    1    1    0
      0.00      0.00      0.00		    2    1    3    0    1    2
      0.00      0.00      0.00		    0    2    1    3    0    1
      3.00      0.00      0.00		    0    0    2    1    3    0
      1.00      4.00      0.00		    0    0    0    2    1    3
      0.00      1.00      5.00		    0    0    0    0    2    1
      3.00      1.00      0.00		    0    0    0    0    0    2
      1.00      3.00      1.00		    0    1    0    0    0    0
      2.00      1.00      3.00		    1    0    2    0    0   -0
      0.00      2.00      1.00		    3    1    0    3    0    0
      0.00      0.00      2.00		    1    3    1    0    4    0
      0.00      0.00      0.00		    2    1    3    1    0    5
      0.00      0.00      0.00		    0    2    1    3    1    1
      0.00      0.00      0.00		    0    0    2    1    3    1
      1.00      1.00      0.00		    0    0    0    2    1    3
      1.00      1.00      2.00		   -0    0    0    0    2    1
      3.00      1.00      1.00		    3    0    0    0    0    2
      1.00      3.00      1.00		    1    4    0    0    0    0
      2.00      1.00      3.00		    1    1    5    0    0    0
      0.00      2.00      2.00		    0    0    0    0    1    0
     -0.15      0.00      2.00		    2    0    0    0    1    0
      0.00      0.00      0.00		    2    2    0    0    0    2
      0.25     -0.26     -0.29		    0    2    2    0    0    0
      3.00     -0.08      2.70		   -1    0    2    2    0    0
      0.00      4.00     -0.10		   -0   -0    0    2    2    0
      0.00      0.00      5.00		    0    0    0    0    2    2
      0.00      0.00      1.00		    0    0    0    0    0    2
      2.00      0.00      0.00		    1    1    0    0    0    0
      2.00      2.00      0.00		    0    1    2    0    0    0
      0.00      2.00      2.00		    0    0    1    3    0    0
      0.00      0.00      2.00		    2    0    0    1    4    0
      0.00      0.00      0.00		    2    2    0    0    1    5
      0.00      0.00      0.00		    0    2    2    0    1    0
      0.00      0.00      0.00		    0    0    2    2    0    1
      0.00      1.00      0.00		    0    0    0    2    2    0
      1.00      0.00      2.00		    0    0    0    0    2    2
      0.00      1.00      0.00		    3    0    0    0    0    2
      2.00      0.00      1.00		    0    4    0    0    0    0
      2.00      2.00      0.00		    1    0    5    0    0    0
      0.00      2.00      2.00		    0    1    1    0    0    0
      0.00      0.00      2.00		    2    0    1    1    1    0
      0.00      0.00      0.00		    2    2    0    1    1    2
      0.00      0.00      0.00		    0    2    2    0    1    1
      3.00      0.00      0.00		    0    0    2    2    0    1
      1.00      4.00      0.00		    0    0    0    2    2    0
      1.00      1.00      5.00		    0    0    0    0    2    2
      1.00      0.00      0.00		    0    0    0    0    0    2
      2.00      1.00      0.00		    0    1    0    0    0    0
      2.00      2.00      1.00		    0    0    2    0    0    0
      0.00      2.00      2.00		    1    0    0    3    0    0
      0.00      0.00      2.00		    2    1    0    0    4    0
      0.00      0.00      0.00		    2    2    1    0    0    5
      0.00      0.00      0.00		    0    2    2    1    0    1
      0.00      0.00      0.00		    0    0    2    2    1    0
      1.00      1.00      0.00		    0    0    0    2    2    1
      0.00      1.00      2.00		    0    0    0    0    2    2
      1.00      0.00      1.00		    3    0    0    0    0    2
      2.00      1.00      0.00		    1    4    0    0    0    0
      2.00      2.00      1.00		    0    1    5    0    0    0
      0.00      2.00      2.00		    1    1    0    0    0    0
      0.00      0.00      2.00		    2    1    1    0    1    0
      0.00      0.00      0.00		    2    2    1    1    0    2
      0.00      0.00      0.00		    0    2    2    1    1    0
      3.00      0.00      0.00		    0    0    2    2    1    1
      0.00      4.00      0.00		    0    0    0    2    2    1
      1.00      0.00      5.00		    0    0    0    0    2    2
      1.00      1.00      1.00		    0    0    0    0    0    2
      2.00      1.00      1.00		    1    1    0    0    0    0
      2.00      2.00      1.00		    1    1    2    0    0    0
      0.00      2.00      2.00		    1    1    1    3    0    0
      0.00      0.00      2.00		    2    1    1    1    4    0
      0.00      0.00      0.00		    2    2    1    1    1    5
      1.73     -1.36     -3.25		    0    2    2    2    0    0
      0.00     32.77     -1.92		   -3    0    2    2    2    0
      0.00      1.00      6.13		   -1   -1    0    2    2    2
      0.00      0.00      2.00		   11   -1  -49    0    2    2
      2.00      0.00      0.00		    3   -2    4  -48    0    2
      2.00      2.00      0.00		    0    4   -5   -0   -6    0
      2.00      2.00      2.00		    0    0    5    0    0    0
      0.00      2.00      2.00		    2    0    1    0    0    0
      0.00      0.00      2.00		    2    2    0    1    1    0
      0.00      0.00      0.00		    2    2    2    0    1    2
      0.00      0.00      0.00		    0    2    2    2    0    1
      3.00     -0.05      0.40		    0    0    2    2    2    0
      1.00      4.00      0.00		    0    0    0    2    2    2
      0.00      1.00      5.00		   -0   -1   -1    0    2    2
      2.00      1.00      0.00		    0    2   -0  -50    0    2
      2.00      2.00      1.00		    0    1    0    0    1    0
      2.00      2.00      2.00		    1    0    2   50    0  -50
      0.00      2.00      2.00		    2    1    0    3    7   -0
    -45.65      0.00      2.00		    2    2    1    0    4   -0
      0.98     -0.39      0.00		    2    2    2    1    0    5
      0.02      0.00      0.00		    0    2    2    2    1    1
      0.00      0.80     -0.22		    0    0    2    2    2    1
      1.00      1.00      6.84		    0   -0    0    2    2    2
      1.00      1.00      2.00		   -0    7  -38    0    2    2
      2.00      1.00      1.00		    3    6   -0  -19    0    2
      2.00      2.00      1.00		    1    4    0    0   -0    0
      2.00      2.00      2.00		    1    1    5    0    0    0
      0.00      2.00      2.00		    3    0    0    0   -0    0
      0.00      0.00      2.00		    2    3    0    0    1    0
      0.00      0.00      0.00		    2    2    3    0    0    2
     -0.11     -0.23     -0.16		    0    2    2    3    0    0
      3.00     -0.46      0.22		   -1    0    2    2    3    0
      0.00      4.00      0.00		    0  -50    0    2    2    3
      0.00      0.00      5.00		    0    0    0    0    2    2
      3.00      0.00      1.00		    0    0    0    0    0    2
      2.00      3.00      0.00		    1    1    0    0    0    0
      2.00      2.00      3.00		    0    1    2    0    0    0
      0.00      2.00      2.00		    3    0    1    3    0    0
      0.00      0.00      2.00		    2    3    0    1    4    0
      0.00      0.00      0.00		    2    2    3    0    1    5
      0.00      0.00      0.00		    0    2    2    3    1    0
      0.00      0.00      0.00		    0    0    2    2    3    1
      0.00      1.00      0.00		    0    0    0    2    2    3
      1.00      0.00      2.00		    0    0    0    0    2    2
      3.00      1.00      0.00		    3    0    0    0    0    2
      2.00      3.00      1.00		    0    4    0    0    0    0
      2.00      2.00      3.00		    1    0    5    0    0    0
      0.00      2.00      2.00		    3    1    1    0    0    0
      0.00      0.00      2.00		    2    3    1    1    1    0
      0.00      0.00      0.00		    2    2    3    1    1    2
      0.00      0.00     -0.15		    0    2    2    3    1    1
      3.00      0.00      0.00		    0    0    2    2    3    1
      1.00      4.00      0.00		    0    0    0    2    2    3
      1.00      1.00      5.00		    0    0    0    0    2    3
      0.00      0.00      0.00		    0    0    0    0    0    2
      3.00      0.00      0.00		    0    1    0    0    0    0
      2.00      3.00      0.00		    0    0    2    0    0    0
      0.00      2.00      3.00		    0    0    0    3    0    0
      0.00      0.00      2.00		    3    0    0    0    4    0
      0.00      0.00      0.00		    2    3    0    0    0    5
      0.00      0.00      0.00		    0    2    3    0    0    1
      0.00      0.00      0.00		    0    0    2    3    0    0
      1.00      1.00      0.00		    0    0    0    2    3    0
      0.00      1.00      2.00		    0    0    0    0    2    3
      0.00      0.00      1.00		    3    0    0    0    0    2
      3.00      0.00      0.00		    1    4    0    0    0    0
      2.00      3.00      0.00		    0    1    5    0    0    0
      0.00      2.00      3.00		    0    1    0    0    0    0
      0.00      0.00      2.00		    3    0    1    0    1    0
      0.00      0.00      0.00		    2    3    0    1    0    2
      0.00      0.00      0.00		    0    2    3    0    1    0
      3.00      0.00      0.00		    0    0    2    3    0    1
      0.00      4.00      0.00		    0    0    0    2    3    0
      1.00      0.00      5.00		    0    0    0    0    2    3
      0.00      1.00      1.00		    0    0    0    0    0    2
      3.00      0.00      1.00		    1    1    0    0    0    0
      2.00      3.00      0.00		    1    1    2    0    0    0
      0.00      2.00      3.00		    0    1    1    3    0    0
      0.00      0.00      2.00		    3    0    1    1    4    0
      0.00      0.00      0.00		    2    3    0    1    1    5
      0.00      0.00      0.00		    0    2    3    1    0    0
      0.00      0.00      0.00		    0    0    2    3    1    0
      0.00      1.00      0.00		    0    0    0    2    3    1
      0.00      0.00      2.00		    0    0    0    0    2    3
      1.00      0.00      0.00		    3    0    0    0    0    2
      3.00      1.00      0.00		    0    4    0    0    0    0
      2.00      3.00      1.00		    0    0    5    0    0    0
      0.00      2.00      3.00		    1    0    1    0    0    0
      0.00      0.00      2.00		    3    1    0    1    1    0
      0.00      0.00      0.00		    2    3    1    0    1    2
      0.00      0.00      0.00		    0    2    3    1    0    1
      3.00      0.00      0.00		    0    0    2    3    1    0
      1.00      4.00      0.00		    0    0    0    2    3    1
      0.00      1.00      5.00		    0    0    0    0    2    3
      1.00      1.00      0.00		    0    0    0    0    0    2
      3.00      1.00      1.00		    0    1    0    0    0    0
      2.00      3.00      1.00		    1    0    2    0    0    0
      0.00      2.00      3.00		    1    1    0    3    0    0
      0.00      0.00      2.00		    3    1    1    0    4    0
      0.00      0.00      0.00		    2    3    1    1    0    5
      0.00      0.00      0.00		    0    2    3    1    1    1
      0.00      0.00      0.00		    0    0    2    3    1    1
      1.00      1.00      0.00		    0    0    0    2    3    1
      1.00      1.00      2.00		    0    0    0    0    2    3
      1.00      1.00      1.00		    3    0    0    0    0    2
      3.00      1.00      1.00		    1    4    0    0    0    0
      2.00      3.00      1.00		    1    1    5   -0    1   -0
      0.00      2.00      3.00		    2    0    0    0   -0    1
     -0.42      0.00      2.00		    3    2    0    0    1    0
     11.05      0.08      0.00		    2    3    2    0    0    2
      0.00      0.00     11.37		    0    2    3    2    0    0
      3.00      0.00      0.15		    0    0    2    3    2    0
      0.00      4.00      0.00		    0    0    0    2    3    2
      0.00      0.00      5.00		    0    0    0    0    2    3
      2.00      0.00      1.00		    0    0    0    0    0    2
      3.00      2.00      0.00		    1    1    0    0    0    0
      2.00      3.00      2.00		    0    1    2    0    0    0
      0.00      2.00      3.00		    2    0    1    3    0    0
      0.00      0.00      2.00		    3    2    0    1    4    0
      0.00      0.00      0.00		    2    3    2    0    1    5
      0.00      0.00      0.00		    0    2    3    2    1    0
      0.00      0.00      0.00		    0    0    2    3    2    1
      0.00      1.00      0.00		    0    0    0    2    3    2
      1.00      0.00      2.00		    0    0    0    0    2    3
      2.00      1.00      0.00		    3    0    0    0    0    2
      3.00      2.00      1.00		    0    4    0    0    0    0
      2.00      3.00      2.00		    1    0    5    0    0    0
      0.00      2.00      3.00		    2    1    1    0    0    0
      0.00      0.00      2.00		    3    2    1    1    1    0
      0.00      0.00      0.00		    2    3    2    1    1    2
      0.00      0.00      0.00		    0    2    3    2    1    1
      3.00      0.00      0.00		    0    0    2    3    2    1
      1.00      4.00      0.00		    0    0    0    2    3    2
      1.00      1.00      5.00		    0    0    0    0    2    3
      3.00      0.00      0.00		    0    0    0    0    0    2
      3.00      3.00      0.00		    0    1    0    0    0    0
      2.00      3.00      3.00		    0    0    2    0    0    0
      0.00      2.00      3.00		    3    0    0    3    0    0
      0.00      0.00      2.00		    3    3    0    0    4    0
      0.00      0.00      0.00		    2    3    3    0    0    5
